Rank,Performance,Wind,Athlete,Age,Country,Location,Date
1,9.85,(+1.0),Yohan Blake,32,JAM,"Kingston, JAM",23 Jun 22 - 26 Jun 22
2,9.93,(+2.9),Mouhamadou Fall,30,FRA,"Montverde, FL, USA",4 Jun 22
3,9.98,(+1.1),Emmanuel Matadi,31,LBR,"Port-of-Spain, TTO",24 Jun 22 - 26 Jun 22
4,10.00,(+5.6),Harry Aikines-Aryeetey,33,GBR,"Manchester, GBR",24 Jun 22 - 26 Jun 22
5,10.03,(+1.2),Oshane Bailey,32,JAM,"Kingston, JAM",23 Jun 22 - 26 Jun 22
6,10.04,(+0.6),Kemar Bailey-Cole,30,JAM,"Kingston, JAM",23 Jun 22 - 26 Jun 22
7,10.05,(+2.1),Emile Erasmus,30,RSA,"København, DEN",16 Jun 22
8,10.06,(-0.3 ),Aaron Brown,30,CAN,"Zürich, SUI",7 Sep 22 - 8 Sep 22
9,10.07,(+2.3),Jimmy Vicaut,30,FRA,"Savona, ITA",18 May 22
10,10.09,(+1.2),Kukyoung Kim,31,KOR,"Tottori, JPN",25 Jun 22 - 26 Jun 22
11,10.10,(+1.4),Isiah Young,32,USA,"Eugene, OR, USA",23 Jun 22 - 26 Jun 22
12,10.12,(+2.7),Pascal Mancini,33,SUI,"Bulle, SUI",9 Jul 22
13,10.15,(+0.1),Bingtian Su,32,CHN,"Eugene, OR, USA",15 Jul 22 - 22 Jul 22
13,10.15,(+2.1),Chris Royster,30,USA,"Nashville, TN, USA",3 Jun 22 - 5 Jun 22
15,10.17,(+1.0),Alonso Edward,32,PAN,"Valledupar, COL",1 Jul 22 - 4 Jul 22
16,10.18,(+2.4),Eugene Amo-Dadzie,30,GBR,"Bedford, GBR",30 Jul 22 - 31 Jul 22
17,10.20,(+0.1),Brendon Rodney,30,CAN,"Ostrava, CZE",31 May 22
18,10.22,(-0.1),Emre Zafer Barnes,33,TUR,"Bursa, TUR",25 Aug 22 - 26 Aug 22
18,10.22,(+0.1),Rasheed Dwyer,33,JAM,"Marietta, GA, USA",2 Jul 22
18,10.22,(+0.4),Andrew Robertson,31,GBR,"Dublin, IRL",2 Jul 22
18,10.22,(+0.1),Seye Ogunlewe,30,NGR,"Benin City, NGR",24 Jun 22 - 26 Jun 22
22,10.23,(+1.9),Ramone Barnswell,34,JAM,"Kingston, JAM",23 Jun 22 - 26 Jun 22
23,10.25,(+0.1),Jak Ali Harvey,33,TUR,"Erzurum, TUR",4 Jun 22 - 5 Jun 22
23,10.25,(+1.5),Benjamin Williams,30,CAN,"Edmonton, CAN",3 Jul 22
25,10.26,(+0.2),Ramil Guliyev,32,TUR,"Madrid, ESP",18 Jun 22
26,10.27,(+0.8),Damian Warner,32,CAN,"Eugene, OR, USA",15 Jul 22 - 22 Jul 22
27,10.28,(+1.6),Sean Safo-Antwi,31,GHA,"St Pierre, MRI",8 Jun 22 - 12 Jun 22
28,10.30,(+1.9),Solomon Bockarie,34,SLE,"Gaborone, BOT",30 Apr 22
29,10.33,(+1.2),Seiya Kusano,34,JPN,"Tottori, JPN",25 Jun 22 - 26 Jun 22
29,10.33,(3.2 ),Lionel Tshimanga Muteba,32,COD,"TTFC, Toronto, ON, CAN",2 Jul 22 - 3 Jul 22
31,10.34,( NWI),Bismark Boateng,30,CAN,"Guelph, ON, CAN",8 Jun 22
32,10.36,(+2.8),Confidence Lawson,31,GBR,"Bedford, GBR",30 Jul 22 - 31 Jul 22
32,10.36,(+3.1),Ameer Webb,31,USA,"Walnut, CA, USA",16 Apr 22
32,10.36,(-0.1),Shota Iizuka,31,JPN,"Gifu, JPN",23 Sep 22 - 25 Sep 22
35,10.37,(+1.9),Kyle Greaux,34,TTO,"Port-of-Spain, TTO",24 Jun 22 - 26 Jun 22
35,10.37,(+1.9),Shane Brathwaite,32,BAR,"Port-of-Spain, TTO",24 Jun 22 - 26 Jun 22
35,10.37,(+3.0),Ioannis Nifadopoulos,31,GRE,"Vari, GRE",2 Jun 22
38,10.38,(+2.0),Sibusiso Matsenjwa,34,SWZ,"St Pierre, MRI",8 Jun 22 - 12 Jun 22
38,10.38,(+0.8),Robin Erewa,30,GER,"Berlin, GER",23 Jun 22 - 26 Jun 22
